id,treatment,sample_size,median1,median2,rho,test,type1_error_rate,type2_error_rate
450,control,100,2,6,0.0,student,0.0000,1.0000
451,control,100,2,6,0.0,mann-whitney,0.0000,1.0000
452,uniform,100,2,6,0.0,paired-student,0.0000,0.9500
453,uniform,100,2,6,0.0,wilcoxon,0.0000,0.9500
454,uniform,100,2,6,0.0,student,0.0000,0.9500
455,uniform,100,2,6,0.0,mann-whitney,0.0000,0.9500
456,asymmetric,100,2,6,0.0,paired-student,0.0000,1.0000
457,asymmetric,100,2,6,0.0,wilcoxon,0.0000,1.0000
458,asymmetric,100,2,6,0.0,student,0.0000,1.0000
459,asymmetric,100,2,6,0.0,mann-whitney,0.0000,1.0000
460,bimodal,100,2,6,0.0,paired-student,0.0000,0.9100
461,bimodal,100,2,6,0.0,wilcoxon,0.0000,0.9100
462,bimodal,100,2,6,0.0,student,0.0000,0.9100
463,bimodal,100,2,6,0.0,mann-whitney,0.0000,0.9300
464,dependent,100,2,6,0.0,paired-student,0.0000,1.0000
465,dependent,100,2,6,0.0,wilcoxon,0.0000,1.0000
466,dependent,100,2,6,0.0,student,0.0000,1.0000
467,dependent,100,2,6,0.0,mann-whitney,0.0000,1.0000
468,dependent,100,2,6,0.1,paired-student,0.0000,1.0000
469,dependent,100,2,6,0.1,wilcoxon,0.0000,1.0000
470,dependent,100,2,6,0.1,student,0.0000,1.0000
471,dependent,100,2,6,0.1,mann-whitney,0.0000,1.0000
472,dependent,100,2,6,0.5,paired-student,0.0000,1.0000
473,dependent,100,2,6,0.5,wilcoxon,0.0000,1.0000
474,dependent,100,2,6,0.5,student,0.0000,1.0000
475,dependent,100,2,6,0.5,mann-whitney,0.0000,1.0000
476,dependent,100,2,6,0.8,paired-student,0.0000,1.0000
477,dependent,100,2,6,0.8,wilcoxon,0.0000,1.0000
478,dependent,100,2,6,0.8,student,0.0000,1.0000
479,dependent,100,2,6,0.8,mann-whitney,0.0000,1.0000
480,control,10,1,6,0.0,paired-student,0.0000,1.0000
481,control,10,1,6,0.0,wilcoxon,0.0000,1.0000
482,control,10,1,6,0.0,student,0.0000,1.0000
483,control,10,1,6,0.0,mann-whitney,0.0000,1.0000
484,uniform,10,1,6,0.0,paired-student,0.0000,0.9700
485,uniform,10,1,6,0.0,wilcoxon,0.0000,0.9700
486,uniform,10,1,6,0.0,student,0.0000,0.9900
487,uniform,10,1,6,0.0,mann-whitney,0.0000,0.9900
488,asymmetric,10,1,6,0.0,paired-student,0.0000,1.0000
489,asymmetric,10,1,6,0.0,wilcoxon,0.0000,1.0000
490,asymmetric,10,1,6,0.0,student,0.0000,1.0000
491,asymmetric,10,1,6,0.0,mann-whitney,0.0000,1.0000
492,bimodal,10,1,6,0.0,paired-student,0.0000,0.9400
493,bimodal,10,1,6,0.0,wilcoxon,0.0000,0.9300
494,bimodal,10,1,6,0.0,student,0.0000,0.9500
495,bimodal,10,1,6,0.0,mann-whitney,0.0000,0.9600
496,dependent,10,1,6,0.0,paired-student,0.0000,1.0000
497,dependent,10,1,6,0.0,wilcoxon,0.0000,1.0000
498,dependent,10,1,6,0.0,student,0.0000,1.0000
499,dependent,10,1,6,0.0,mann-whitney,0.0000,1.0000
500,dependent,10,1,6,0.1,paired-student,0.0000,1.0000
501,dependent,10,1,6,0.1,wilcoxon,0.0000,1.0000
502,dependent,10,1,6,0.1,student,0.0000,1.0000
503,dependent,10,1,6,0.1,mann-whitney,0.0000,1.0000
504,dependent,10,1,6,0.5,paired-student,0.0000,1.0000
505,dependent,10,1,6,0.5,wilcoxon,0.0000,1.0000
506,dependent,10,1,6,0.5,student,0.0000,1.0000
507,dependent,10,1,6,0.5,mann-whitney,0.0000,1.0000
508,dependent,10,1,6,0.8,paired-student,0.0000,1.0000
509,dependent,10,1,6,0.8,wilcoxon,0.0000,1.0000
510,dependent,10,1,6,0.8,student,0.0000,1.0000
511,dependent,10,1,6,0.8,mann-whitney,0.0000,1.0000
512,control,30,1,6,0.0,paired-student,0.0000,1.0000
513,control,30,1,6,0.0,wilcoxon,0.0000,1.0000
514,control,30,1,6,0.0,student,0.0000,1.0000
515,control,30,1,6,0.0,mann-whitney,0.0000,1.0000
516,uniform,30,1,6,0.0,paired-student,0.0000,0.9600
517,uniform,30,1,6,0.0,wilcoxon,0.0000,0.9700
518,uniform,30,1,6,0.0,student,0.0000,0.9600
519,uniform,30,1,6,0.0,mann-whitney,0.0000,0.9600
520,asymmetric,30,1,6,0.0,paired-student,0.0000,1.0000
521,asymmetric,30,1,6,0.0,wilcoxon,0.0000,1.0000
522,asymmetric,30,1,6,0.0,student,0.0000,1.0000
523,asymmetric,30,1,6,0.0,mann-whitney,0.0000,1.0000
524,bimodal,30,1,6,0.0,paired-student,0.0000,0.9600
525,bimodal,30,1,6,0.0,wilcoxon,0.0000,0.9500
526,bimodal,30,1,6,0.0,student,0.0000,0.9500
527,bimodal,30,1,6,0.0,mann-whitney,0.0000,0.9500
528,dependent,30,1,6,0.0,paired-student,0.0000,1.0000
529,dependent,30,1,6,0.0,wilcoxon,0.0000,1.0000
530,dependent,30,1,6,0.0,student,0.0000,1.0000
